experiment_id,role,architecture,seed,mAP50,mAP50_95,Clinical7_mAP50_95,Core6_mAP50_95,params,status,decision
B0,historical recipe anchor,YOLO11s baseline,42,0.6382281792,0.4100647416,0.361939,0.3928978,9431275,COMPLETE,context only
B1,clean legacy,YOLO11s baseline,42,0.6250707,0.3941357,0.34387095,0.37609076,9431275,COMPLETE,rejected recipe
B2,clean scratch conservative,YOLO11s baseline,42,0.62298187,0.39418525,0.3433985,0.37799257,9431275,COMPLETE,scratch reference
A0/B3-s42,pretrained baseline,YOLO11s,42,0.6359280174,0.4133054952,0.3649291495,0.4038042374,9431275,LOCKED,strong baseline
A1-s42,SC ablation,SC-e50,42,0.6347194609,0.4159783543,0.3679008187,0.406019498,11126475,COMPLETE,weak positive context
A2-s42,Dy ablation,DySample,42,0.6240829945,0.4076514156,0.3585483037,0.4024974929,9455915,REJECTED,negative
A3-s42,SC+Dy,SC-e50+DySample,42,0.6526450183,0.4177741872,0.3702564913,0.405226278,11151115,SUPERSEDED,seed confirmation failed
C0-s43,baseline confirmation,YOLO11s,43,0.6465858599,0.4245776005,0.3779629824,0.4021685906,9431275,COMPLETE,baseline confirmation
C1-s43,SC confirmation,SC-e50,43,0.6559963955,0.4242563774,0.3774618854,0.4076938929,11126475,COMPLETE,overall tie/Core6 positive
C2-s43,SC+Dy confirmation,SC-e50+DySample,43,0.6277197191,0.4095167089,0.3604381581,0.409816978,11151115,REJECTED,gain did not reproduce
