"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"K7LI84Y5","journalArticle","2024","Ahmed, Ammar; Imran, Ali Shariq; Manaf, Abdul; Kastrati, Zenun; Daudpota, Sher Muhammad","Enhancing wrist abnormality detection with YOLO: Analysis of state-of-the-art single-stage detection models","Biomedical Signal Processing and Control","","17468094","10.1016/j.bspc.2024.106144","https://linkinghub.elsevier.com/retrieve/pii/S1746809424002027","Diagnosing and treating abnormalities in the wrist, specifically distal radius, and ulna fractures, is a crucial concern among children, adolescents, and young adults, with a higher incidence rate during puberty. However, the scarcity of radiologists and the lack of specialized training among medical professionals pose a significant risk to patient care. This problem is further exacerbated by the rising number of imaging studies and limited access to specialist reporting in certain regions. This highlights the need for innovative solutions to improve the diagnosis and treatment of wrist abnormalities. Automated wrist fracture detection using object detection has shown potential, but current studies mainly use two-stage detection methods with limited evidence for singlestage effectiveness. This study employs state-of-the-art single-stage deep neural network-based detection models YOLOv5, YOLOv6, YOLOv7, and YOLOv8 to detect wrist abnormalities. Through extensive experimentation, we found that these YOLO models outperform the commonly used two-stage detection algorithm, Faster RCNN, in fracture detection. Additionally, compound-scaled variants of each YOLO model were compared, with YOLOv8 m demonstrating a highest fracture detection sensitivity of 0.92 and mean average precision (mAP) of 0.95. On the other hand, YOLOv6 m achieved the highest sensitivity across all classes at 0.83. Meanwhile, YOLOv8x recorded the highest mAP of 0.77 for all classes on the GRAZPEDWRI-DX pediatric wrist dataset, highlighting the potential of single-stage models for enhancing pediatric wrist imaging.","2024-07","2025-08-12 04:47:31","2025-08-12 04:47:31","2025-08-12 04:47:31","106144","","","93","","Biomedical Signal Processing and Control","Enhancing wrist abnormality detection with YOLO","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\ik_pa\Zotero\storage\AB3MNAYY\Ahmed et al. - 2024 - Enhancing wrist abnormality detection with YOLO Analysis of state-of-the-art single-stage detection.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IC9C6H49","journalArticle","2024","Chen, Peng; Liu, Songyan; Lu, Wenbin; Lu, Fangpeng; Ding, Boyang","WCAY object detection of fractures for X-ray images of multiple sites","Scientific Reports","","2045-2322","10.1038/s41598-024-77878-6","https://www.nature.com/articles/s41598-024-77878-6","The WCAY (weighted channel attentionYOLO) model, which is meticulously crafted to identify fracture features across diverse X-ray image sites, is presented herein. This model integrates novel core operators and an innovative attention mechanism to enhance its efficacy. Initially, leveraging the benefits of dynamic snake convolution (DSConv), which is adept at capturing elongated tubular structural features, we introduce the DSC-C2f module to augment the model’s fracture detection performance by replacing a portion of C2f. Subsequently, we integrate the newly proposed weighted channel attention (WCA) mechanism into the architecture to bolster feature fusion and improve fracture detection across various sites. Comparative experiments were conducted, to evaluate the performances of several attention mechanisms. These enhancement strategies were validated  through experimentation on public X-ray image datasets (FracAtlas and GRAZPEDWRI-DX). Multiple experimental comparisons substantiated the model’s efficacy, demonstrating its superior accuracy and real-time detection capabilities. According to the experimental findings, on the FracAtlas dataset, our WCAY model exhibits a notable 8.8% improvement in mean average precision (mAP) over the original model. On the GRAZPEDWRI-DX dataset, the mAP reaches 64.4%, with a detection accuracy of 93.9% for the “fracture” category alone. The proposed model represents a substantial improvement over the original algorithm compared to other state-of-the-art object detection models. The code is publicly available at https://github.com/cccp421/Fracture-Detection-WCAY .","2024-11-04","2025-08-12 04:54:41","2025-11-16 07:08:23","2025-08-12 04:54:41","26702","","1","14","","Sci Rep","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\ik_pa\Zotero\storage\ZH9XYSDN\Chen et al. - 2024 - WCAY object detection of fractures for X-ray images of multiple sites.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJLDB79S","journalArticle","2023","Ju, Rui-Yang; Cai, Weiming","Fracture detection in pediatric wrist trauma X-ray images using YOLOv8 algorithm","Scientific Reports","","2045-2322","10.1038/s41598-023-47460-7","https://www.nature.com/articles/s41598-023-47460-7","Hospital emergency departments frequently receive lots of bone fracture cases, with pediatric wrist trauma fracture accounting for the majority of them. Before pediatric surgeons perform surgery, they need to ask patients how the fracture occurred and analyze the fracture situation by interpreting X-ray images. The interpretation of X-ray images often requires a combination of techniques from radiologists and surgeons, which requires time-consuming specialized training. With the rise of deep learning in the field of computer vision, network models applying for fracture detection has become an important research topic. In this paper, we use data augmentation to improve the model performance of YOLOv8 algorithm (the latest version of You Only Look Once) on a pediatric wrist trauma X-ray dataset (GRAZPEDWRI-DX), which is a public dataset. The experimental results show that our model has reached the state-of-the-art (SOTA) mean average precision (mAP 50). Specifically, mAP 50 of our model is 0.638, which is significantly higher than the 0.634 and 0.636 of the improved YOLOv7 and original YOLOv8 models. To enable surgeons to use our model for fracture detection on pediatric wrist trauma X-ray images, we have designed the application “Fracture Detection Using YOLOv8 App” to assist surgeons in diagnosing fractures, reducing the probability of error analysis, and providing more useful information for surgery.","2023-11-16","2025-08-21 05:37:53","2025-08-21 05:37:53","2025-08-21 05:37:53","20077","","1","13","","Sci Rep","","","","","","Nature Publishing Group","","en","2023 The Author(s)","","","","www.nature.com","","","","C:\Users\ik_pa\Zotero\storage\ZGYVAUGP\Ju and Cai - 2023 - Fracture detection in pediatric wrist trauma X-ray images using YOLOv8 algorithm.pdf","","","Computer science; Paediatric research; Trauma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VK8P4EU3","journalArticle","2025","Tariq, Mubashar; Choi, Kiho","YOLO11-Driven Deep Learning Approach for Enhanced Detection and Visualization of Wrist Fractures in X-Ray Images","Mathematics","","2227-7390","10.3390/math13091419","https://www.mdpi.com/2227-7390/13/9/1419","Wrist fractures, especially those involving the elbow and distal radius, are the most common injuries in children, teenagers, and young adults, with the highest occurrence rates during adolescence. However, the demand for medical imaging and the shortage of radiologists make it challenging to ensure accurate diagnosis and treatment. This study explores how AI-driven approaches are used to enhance fracture detection and improve diagnostic accuracy. In this paper, we propose the latest version of YOLO (i.e., YOLO11) with an attention module, designed to refine detection correctness. We integrated attention mechanisms, such as Global Attention Mechanism (GAM), channel attention, and spatial attention with Residual Network (ResNet), to enhance feature extraction. Moreover, we developed the ResNet_GAM model, which combines ResNet with GAM to improve feature learning and model performance. In this paper, we apply a data augmentation process to the publicly available GRAZPEDWRI-DX dataset, which is widely used for detecting radial bone fractures in X-ray images of children. Experimental findings indicate that integrating Squeeze-and-Excitation (SE_BLOCK) into YOLO11 significantly increases model efficiency. Our experimental results attain state-of-the-art performance, measured by the mean average precision (mAP50). Through extensive experiments, we found that our model achieved the highest mAP50 of 0.651. Meanwhile, YOLO11 with GAM and ResNet_GAM attained a maximum precision of 0.799 and a recall of 0.639 across all classes on the given dataset. The potential of these models to improve pediatric wrist imaging is significant, as they offer better detection accuracy while still being computationally efficient. Additionally, to help surgeons identify and diagnose fractures in patient wrist X-ray images, we provide a Fracture Detection Web-based Interface based on the result of the proposed method. This interface reduces the risk of misinterpretation and provides valuable information to assist in making surgical decisions.","2025-01","2025-08-28 05:26:57","2025-08-28 05:26:57","2025-08-28 05:26:57","1419","","9","13","","","","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","C:\Users\ik_pa\Zotero\storage\NE3B57XU\Tariq and Choi - 2025 - YOLO11-Driven Deep Learning Approach for Enhanced Detection and Visualization of Wrist Fractures in.pdf","","","YOLO; medical imaging; deep learning diagnosis; object localization; pediatric X-ray; radiographic imaging; wrist fracture detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYR8SJ6B","journalArticle","2024","Chien, Chun-Tse; Ju, Rui-Yang; Chou, Kuang-Yi; Chiang, Jen-Shiun","YOLOv9 for fracture detection in pediatric wrist trauma X-ray images","Electronics Letters","","1350-911X","10.1049/ell2.13248","https://onlinelibrary.wiley.com/doi/abs/10.1049/ell2.13248","The introduction of YOLOv9, the latest version of the you only look once (YOLO) series, has led to its widespread adoption across various scenarios. This paper is the first to apply the YOLOv9 algorithm model to the fracture detection task as computer-assisted diagnosis to help radiologists and surgeons to interpret X-ray images. Specifically, this paper trained the model on the GRAZPEDWRI-DX dataset and extended the training set using data augmentation techniques to improve the model performance. Experimental results demonstrate that compared to the mAP 50–95 of the current state-of-the-art model, the YOLOv9 model increased the value from 42.16% to 43.73%, with an improvement of 3.7%. The implementation code is publicly available at https://github.com/RuiyangJu/YOLOv9-Fracture-Detection.","2024","2025-08-30 05:11:31","2025-08-30 05:11:31","2025-08-30 05:11:31","e13248","","11","60","","","","","","","","","","en","© 2024 The Author(s). Electronics Letters published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology.","","","","Wiley Online Library","","_eprint: https://ietresearch.onlinelibrary.wiley.com/doi/pdf/10.1049/ell2.13248","","C:\Users\ik_pa\Zotero\storage\EFQQ7CEH\Chien et al. - 2024 - YOLOv9 for fracture detection in pediatric wrist trauma X-ray images.pdf; C:\Users\ik_pa\Zotero\storage\BW9GD87Z\ell2.html","","","computer vision; object detection; biomedical imaging; X-ray detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5IHRZPMY","journalArticle","2025","Du, Shenghong; Wei, Yan","ASC-YOLO: Multi-Scale Feature Fusion and Adaptive Decoupled Head for Fracture Detection in Medical Imaging","Applied Sciences","","2076-3417","10.3390/app15169031","https://www.mdpi.com/2076-3417/15/16/9031","Fractures occur frequently in daily life, and before a surgeon implements treatment, the plan needs to be based on the radiologist’s imaging diagnosis of the X-ray. Despite progress in deep learning–based fracture detection, existing methods (e.g., two-stage detectors) face challenges such as small target leakage and sensitivity to background interference in complex medical images. To address these issues, this paper proposes the ASC-YOLO model, which employs the Scale-Sensitive Feature Fusion (SSFF) module to enhance multi-scale information extraction through cross-layer feature interaction. In addition, an Adaptive Decoupled Detection Head (AsDDet) is introduced to decouple the classification and regression tasks of the detection head, thereby improving the localization accuracy of small fracture regions and suppressing background noise. Experiments on a large fracture radiograph dataset, GRAZPEDWRI-DX, demonstrate that ASC-YOLO achieves 61% mAP@50, representing an 8% improvement over the baseline YOLO model (mAP@53%). It attains 95% mAP@50 for the fracture category and 97% mAP@50 for the metal category. Furthermore, the model was evaluated on a tumor dataset to verify its generalization capability. The proposed framework provides reliable technical support for accurate fracture screening, which is expected to reduce missed diagnoses and optimize treatment.","2025-01","2025-08-30 09:11:48","2025-08-30 09:11:48","2025-08-30 09:11:48","9031","","16","15","","","ASC-YOLO","","","","","Multidisciplinary Digital Publishing Institute","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","","","C:\Users\ik_pa\Zotero\storage\FR3ELMY7\Du and Wei - 2025 - ASC-YOLO Multi-Scale Feature Fusion and Adaptive Decoupled Head for Fracture Detection in Medical I.pdf","","","fracture detection; YOLO; medical images; small target localization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7N4F3DLG","journalArticle","2024","Meza, Gerardo; Ganta, Deepak; Gonzalez Torres, Sergio","Deep Learning Approach for Arm Fracture Detection Based on an Improved YOLOv8 Algorithm","Algorithms","","1999-4893","10.3390/a17110471","https://www.mdpi.com/1999-4893/17/11/471","Artificial intelligence (AI)-assisted computer vision is an evolving field in medical imaging. However, accuracy and precision suffer when using the existing AI models for small, easy-tomiss objects such as bone fractures, which affects the models’ applicability and effectiveness in a clinical setting. The proposed integration of the Hybrid-Attention (HA) mechanism into the YOLOv8 architecture offers a robust solution to improve accuracy, reliability, and speed in medical imaging applications. Experimental results demonstrate that our HA-modified YOLOv8 models achieve a 20% higher Mean Average Precision (mAP 50) and improved processing speed in arm fracture detection.","2024-10-22","2025-10-12 11:21:03","2025-10-12 11:21:03","2025-10-12 11:21:03","471","","11","17","","Algorithms","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\ik_pa\Zotero\storage\EB6GD8VJ\Meza et al. - 2024 - Deep Learning Approach for Arm Fracture Detection Based on an Improved YOLOv8 Algorithm.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M798MWHT","journalArticle","2025","Bouslimi, Riadh; Trabelssi, Houda; Karaa, Wahiba Ben Abdessalem","Enhanced diagnosis of pediatric wrist fractures using deep learning","Network Modeling Analysis in Health Informatics and Bioinformatics","","2192-6670","10.1007/s13721-025-00518-0","https://link.springer.com/10.1007/s13721-025-00518-0","This paper proposes a novel deep learning-based approach for detecting pediatric wrist fractures in radiographs. Our method integrates AC-BiFPN for efficient multi-scale feature fusion and SimAM to emphasize clinically relevant image features, enhancing real-time object detection using YOLOv10. Additionally, we employ the WIoU loss function to improve the model’s generalization capability by minimizing both false positives and, more critically, false negatives. The proposed model was evaluated on the GRAZPEDWRI-DX dataset, comprising 20,327 annotated pediatric wrist radiographs. Our approach achieved significant performance improvements, with a precision of 97.4%, recall of 95.5%, and mAP50 of 88.5%. Notably, the model demonstrated a strong ability to detect subtle and complex fractures, which are often missed by conventional diagnostic methods. Furthermore, the system exhibited robustness across diverse clinical scenarios while maintaining computational efficiency, making it suitable for real-time deployment in emergency departments. These results suggest that our model not only surpasses traditional fracture detection techniques but also provides a reliable and efficient tool to assist radiologists in pediatric emergency care.","2025-04-23","2025-10-15 08:54:47","2025-10-15 08:54:47","2025-10-15 08:54:47","25","","1","14","","Netw Model Anal Health Inform Bioinforma","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\ik_pa\Zotero\storage\7FQFUEA8\Bouslimi et al. - 2025 - Enhanced diagnosis of pediatric wrist fractures using deep learning.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMQ5J6B9","preprint","2024","Ju, Rui-Yang; Chien, Chun-Tse; Xieerke, Enkaer; Chiang, Jen-Shiun","Pediatric Wrist Fracture Detection Using Feature Context Excitation Modules in X-ray Images","","","","10.48550/arXiv.2410.01031","http://arxiv.org/abs/2410.01031","Children often suffer wrist trauma in daily life, while they usually need radiologists to analyze and interpret X-ray images before surgical treatment by surgeons. The development of deep learning has enabled neural networks to serve as computer-assisted diagnosis (CAD) tools to help doctors and experts in medical image diagnostics. Since YOLOv8 model has obtained the satisfactory success in object detection tasks, it has been applied to various fracture detection. This work introduces four variants of Feature Contexts Excitation-YOLOv8 (FCE-YOLOv8) model, each incorporating a different FCE module (i.e., modules of Squeeze-and-Excitation (SE), Global Context (GC), Gather-Excite (GE), and Gaussian Context Transformer (GCT)) to enhance the model performance. Experimental results on GRAZPEDWRI-DX dataset demonstrate that our proposed YOLOv8+GC-M3 model improves the mAP@50 value from 65.78% to 66.32%, outperforming the state-of-the-art (SOTA) model while reducing inference time. Furthermore, our proposed YOLOv8+SE-M3 model achieves the highest mAP@50 value of 67.07%, exceeding the SOTA performance. The implementation of this work is available at https://github.com/RuiyangJu/FCE-YOLOv8.","2024-11-07","2025-10-21 02:29:03","2025-10-21 02:29:03","2025-10-21 02:29:03","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2410.01031 [cs]","Comment: arXiv admin note: text overlap with arXiv:2407.03163","C:\Users\ik_pa\Zotero\storage\9LE8W7Z7\Ju et al. - 2024 - Pediatric Wrist Fracture Detection Using Feature Context Excitation Modules in X-ray Images.pdf; C:\Users\ik_pa\Zotero\storage\DTRK5BH5\2410.html","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:2410.01031","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ITK87APA","journalArticle","2025","Chien, Chun-Tse; Ju, Rui-Yang; Chou, Kuang-Yi; Xieerke, Enkaer; Chiang, Jen-Shiun","YOLOv8-AM: YOLOv8 Based on Effective Attention Mechanisms for Pediatric Wrist Fracture Detection","IEEE Access","","2169-3536","10.1109/ACCESS.2025.3549839","https://ieeexplore.ieee.org/document/10918980/","Wrist trauma and even fractures occur frequently in daily life, particularly among children who account for a significant proportion of fracture cases. Before performing surgery, surgeons often request patients to undergo X-ray imaging first and prepare for surgery based on the analysis of the radiologists. With the development of neural networks, You Only Look Once (YOLO) series models have been widely used in fracture detection as computer-assisted diagnosis (CAD) tools. Ultralytics presented the latest version of the YOLO models in 2023, which has been employed for detecting fractures across various parts of the body. Attention mechanism is one of the most popular methods to improve the model performance. This work proposes YOLOv8-AM, which incorporates the attention modules into the YOLOv8 architecture. Specifically, we respectively employ four different attention modules, ResBlock with Convolutional Block Attention Module (ResCBAM), Shuffle Attention (SA), Efficient Channel Attention (ECA), and ResBlock with Global Attention Mechanism (ResGAM), to improve the model architecture, and train these models on the GRAZPEDWRI-DX dataset. Experimental results demonstrate that the mean Average Precision at IoU 50 (mAP@50) of one of the variants of YOLOv8-AM model (i.e., YOLOv8+ResCBAM) increased from 63.6% to 65.8%, which achieves the state-of-the-art (SOTA) performance. In addition, the proposed YOLOv8-AM models can detect the single-label category “fracture” with mAP@50 value of 95.7% in pediatric wrist trauma X-ray images. The implementation code for this work is available on GitHub at https://github.com/RuiyangJu/Fracture_Detection_Improved_YOLOv8.","2025","2025-10-21 02:30:07","2025-10-21 02:30:07","2025-10-21 02:30:07","52461-52477","","","13","","","YOLOv8-AM","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\ik_pa\Zotero\storage\2Z8N8HNW\Chien et al. - 2025 - YOLOv8-AM YOLOv8 Based on Effective Attention Mechanisms for Pediatric Wrist Fracture Detection.pdf","","","X-ray imaging; deep learning; radiology; fracture detection; YOLO; Wrist; Computational modeling; Computer vision; Neural networks; object detection; Solid modeling; Attention mechanisms; Head; Mathematical models; medical image diagnostics; medical image processing; Surgery; you only look once (YOLO)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
